Recency,Frequency,Monetary,Date
731,731,3292679,2013-01-01
730,731,3292679,2013-01-01
729,731,3292679,2013-01-01
728,731,3292679,2013-01-01
727,731,3292679,2013-01-01
726,731,3292679,2013-01-01
725,731,3292679,2013-01-01
724,731,3292679,2013-01-01
723,731,3292679,2013-01-01
722,731,3292679,2013-01-01
721,731,3292679,2013-01-01
720,731,3292679,2013-01-01
719,731,3292679,2013-01-01
718,731,3292679,2013-01-01
717,731,3292679,2013-01-01
716,731,3292679,2013-01-01
715,731,3292679,2013-01-01
714,731,3292679,2013-01-01
713,731,3292679,2013-01-01
712,731,3292679,2013-01-01
711,731,3292679,2013-01-01
710,731,3292679,2013-01-01
709,731,3292679,2013-01-01
708,731,3292679,2013-01-01
707,731,3292679,2013-01-01
706,731,3292679,2013-01-01
705,731,3292679,2013-01-01
704,731,3292679,2013-01-01
703,731,3292679,2013-01-01
702,731,3292679,2013-01-01
701,731,3292679,2013-01-01
700,731,3292679,2013-01-01
699,731,3292679,2013-01-01
698,731,3292679,2013-01-01
697,731,3292679,2013-01-01
696,731,3292679,2013-01-01
695,731,3292679,2013-01-01
694,731,3292679,2013-01-01
693,731,3292679,2013-01-01
692,731,3292679,2013-01-01
691,731,3292679,2013-01-01
690,731,3292679,2013-01-01
689,731,3292679,2013-01-01
688,731,3292679,2013-01-01
687,731,3292679,2013-01-01
686,731,3292679,2013-01-01
685,731,3292679,2013-01-01
684,731,3292679,2013-01-01
683,731,3292679,2013-01-01
682,731,3292679,2013-01-01
681,731,3292679,2013-01-01
680,731,3292679,2013-01-01
679,731,3292679,2013-01-01
678,731,3292679,2013-01-01
677,731,3292679,2013-01-01
676,731,3292679,2013-01-01
675,731,3292679,2013-01-01
674,731,3292679,2013-01-01
673,731,3292679,2013-01-01
672,731,3292679,2013-01-01
671,731,3292679,2013-01-01
670,731,3292679,2013-01-01
669,731,3292679,2013-01-01
668,731,3292679,2013-01-01
667,731,3292679,2013-01-01
666,731,3292679,2013-01-01
665,731,3292679,2013-01-01
664,731,3292679,2013-01-01
663,731,3292679,2013-01-01
662,731,3292679,2013-01-01
661,731,3292679,2013-01-01
660,731,3292679,2013-01-01
659,731,3292679,2013-01-01
658,731,3292679,2013-01-01
657,731,3292679,2013-01-01
656,731,3292679,2013-01-01
655,731,3292679,2013-01-01
654,731,3292679,2013-01-01
653,731,3292679,2013-01-01
652,731,3292679,2013-01-01
651,731,3292679,2013-01-01
650,731,3292679,2013-01-01
649,731,3292679,2013-01-01
648,731,3292679,2013-01-01
647,731,3292679,2013-01-01
646,731,3292679,2013-01-01
645,731,3292679,2013-01-01
644,731,3292679,2013-01-01
643,731,3292679,2013-01-01
642,731,3292679,2013-01-01
641,731,3292679,2013-01-01
640,731,3292679,2013-01-01
639,731,3292679,2013-01-01
638,731,3292679,2013-01-01
637,731,3292679,2013-01-01
636,731,3292679,2013-01-01
635,731,3292679,2013-01-01
634,731,3292679,2013-01-01
633,731,3292679,2013-01-01
632,731,3292679,2013-01-01
631,731,3292679,2013-01-01
630,731,3292679,2013-01-01
629,731,3292679,2013-01-01
628,731,3292679,2013-01-01
627,731,3292679,2013-01-01
626,731,3292679,2013-01-01
625,731,3292679,2013-01-01
624,731,3292679,2013-01-01
623,731,3292679,2013-01-01
622,731,3292679,2013-01-01
621,731,3292679,2013-01-01
620,731,3292679,2013-01-01
619,731,3292679,2013-01-01
618,731,3292679,2013-01-01
617,731,3292679,2013-01-01
616,731,3292679,2013-01-01
615,731,3292679,2013-01-01
614,731,3292679,2013-01-01
613,731,3292679,2013-01-01
612,731,3292679,2013-01-01
611,731,3292679,2013-01-01
610,731,3292679,2013-01-01
609,731,3292679,2013-01-01
608,731,3292679,2013-01-01
607,731,3292679,2013-01-01
606,731,3292679,2013-01-01
605,731,3292679,2013-01-01
604,731,3292679,2013-01-01
603,731,3292679,2013-01-01
602,731,3292679,2013-01-01
601,731,3292679,2013-01-01
600,731,3292679,2013-01-01
599,731,3292679,2013-01-01
598,731,3292679,2013-01-01
597,731,3292679,2013-01-01
596,731,3292679,2013-01-01
595,731,3292679,2013-01-01
594,731,3292679,2013-01-01
593,731,3292679,2013-01-01
592,731,3292679,2013-01-01
591,731,3292679,2013-01-01
590,731,3292679,2013-01-01
589,731,3292679,2013-01-01
588,731,3292679,2013-01-01
587,731,3292679,2013-01-01
586,731,3292679,2013-01-01
585,731,3292679,2013-01-01
584,731,3292679,2013-01-01
583,731,3292679,2013-01-01
582,731,3292679,2013-01-01
581,731,3292679,2013-01-01
580,731,3292679,2013-01-01
579,731,3292679,2013-01-01
578,731,3292679,2013-01-01
577,731,3292679,2013-01-01
576,731,3292679,2013-01-01
575,731,3292679,2013-01-01
574,731,3292679,2013-01-01
573,731,3292679,2013-01-01
572,731,3292679,2013-01-01
571,731,3292679,2013-01-01
570,731,3292679,2013-01-01
569,731,3292679,2013-01-01
568,731,3292679,2013-01-01
567,731,3292679,2013-01-01
566,731,3292679,2013-01-01
565,731,3292679,2013-01-01
564,731,3292679,2013-01-01
563,731,3292679,2013-01-01
562,731,3292679,2013-01-01
561,731,3292679,2013-01-01
560,731,3292679,2013-01-01
559,731,3292679,2013-01-01
558,731,3292679,2013-01-01
557,731,3292679,2013-01-01
556,731,3292679,2013-01-01
555,731,3292679,2013-01-01
554,731,3292679,2013-01-01
553,731,3292679,2013-01-01
552,731,3292679,2013-01-01
551,731,3292679,2013-01-01
550,731,3292679,2013-01-01
549,731,3292679,2013-01-01
548,731,3292679,2013-01-01
547,731,3292679,2013-01-01
546,731,3292679,2013-01-01
545,731,3292679,2013-01-01
544,731,3292679,2013-01-01
543,731,3292679,2013-01-01
542,731,3292679,2013-01-01
541,731,3292679,2013-01-01
540,731,3292679,2013-01-01
539,731,3292679,2013-01-01
538,731,3292679,2013-01-01
537,731,3292679,2013-01-01
536,731,3292679,2013-01-01
535,731,3292679,2013-01-01
534,731,3292679,2013-01-01
533,731,3292679,2013-01-01
532,731,3292679,2013-01-01
531,731,3292679,2013-01-01
530,731,3292679,2013-01-01
529,731,3292679,2013-01-01
528,731,3292679,2013-01-01
527,731,3292679,2013-01-01
526,731,3292679,2013-01-01
525,731,3292679,2013-01-01
524,731,3292679,2013-01-01
523,731,3292679,2013-01-01
522,731,3292679,2013-01-01
521,731,3292679,2013-01-01
520,731,3292679,2013-01-01
519,731,3292679,2013-01-01
518,731,3292679,2013-01-01
517,731,3292679,2013-01-01
516,731,3292679,2013-01-01
515,731,3292679,2013-01-01
514,731,3292679,2013-01-01
513,731,3292679,2013-01-01
512,731,3292679,2013-01-01
511,731,3292679,2013-01-01
510,731,3292679,2013-01-01
509,731,3292679,2013-01-01
508,731,3292679,2013-01-01
507,731,3292679,2013-01-01
506,731,3292679,2013-01-01
505,731,3292679,2013-01-01
504,731,3292679,2013-01-01
503,731,3292679,2013-01-01
502,731,3292679,2013-01-01
501,731,3292679,2013-01-01
500,731,3292679,2013-01-01
499,731,3292679,2013-01-01
498,731,3292679,2013-01-01
497,731,3292679,2013-01-01
496,731,3292679,2013-01-01
495,731,3292679,2013-01-01
494,731,3292679,2013-01-01
493,731,3292679,2013-01-01
492,731,3292679,2013-01-01
491,731,3292679,2013-01-01
490,731,3292679,2013-01-01
489,731,3292679,2013-01-01
488,731,3292679,2013-01-01
487,731,3292679,2013-01-01
486,731,3292679,2013-01-01
485,731,3292679,2013-01-01
484,731,3292679,2013-01-01
483,731,3292679,2013-01-01
482,731,3292679,2013-01-01
481,731,3292679,2013-01-01
480,731,3292679,2013-01-01
479,731,3292679,2013-01-01
478,731,3292679,2013-01-01
477,731,3292679,2013-01-01
476,731,3292679,2013-01-01
475,731,3292679,2013-01-01
474,731,3292679,2013-01-01
473,731,3292679,2013-01-01
472,731,3292679,2013-01-01
471,731,3292679,2013-01-01
470,731,3292679,2013-01-01
469,731,3292679,2013-01-01
468,731,3292679,2013-01-01
467,731,3292679,2013-01-01
466,731,3292679,2013-01-01
465,731,3292679,2013-01-01
464,731,3292679,2013-01-01
463,731,3292679,2013-01-01
462,731,3292679,2013-01-01
461,731,3292679,2013-01-01
460,731,3292679,2013-01-01
459,731,3292679,2013-01-01
458,731,3292679,2013-01-01
457,731,3292679,2013-01-01
456,731,3292679,2013-01-01
455,731,3292679,2013-01-01
454,731,3292679,2013-01-01
453,731,3292679,2013-01-01
452,731,3292679,2013-01-01
451,731,3292679,2013-01-01
450,731,3292679,2013-01-01
449,731,3292679,2013-01-01
448,731,3292679,2013-01-01
447,731,3292679,2013-01-01
446,731,3292679,2013-01-01
445,731,3292679,2013-01-01
444,731,3292679,2013-01-01
443,731,3292679,2013-01-01
442,731,3292679,2013-01-01
441,731,3292679,2013-01-01
440,731,3292679,2013-01-01
439,731,3292679,2013-01-01
438,731,3292679,2013-01-01
437,731,3292679,2013-01-01
436,731,3292679,2013-01-01
435,731,3292679,2013-01-01
434,731,3292679,2013-01-01
433,731,3292679,2013-01-01
432,731,3292679,2013-01-01
431,731,3292679,2013-01-01
430,731,3292679,2013-01-01
429,731,3292679,2013-01-01
428,731,3292679,2013-01-01
427,731,3292679,2013-01-01
426,731,3292679,2013-01-01
425,731,3292679,2013-01-01
424,731,3292679,2013-01-01
423,731,3292679,2013-01-01
422,731,3292679,2013-01-01
